tripduration,starttime,stoptime,start_station_id,start station name,start station latitude,start station longitude,end_station_id,end station name,end station latitude,end station longitude,bikeid,usertype,birth_year,gender
1142,2014/8/1 0:00,2014/8/1 0:19,470,W 20 St & 8 Ave,40.74345335,-74.00004031,312,Allen St & E Houston St,40.722055,-73.989111,19117,Subscriber,1969,1
117,2014/8/1 0:00,2014/8/1 0:02,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,432,E 7 St & Avenue A,40.72621788,-73.98379855,20549,Subscriber,1991,1
546,2014/8/1 0:00,2014/8/1 0:09,224,Spruce St & Nassau St,40.71146364,-74.00552427,340,Madison St & Clinton St,40.71269042,-73.98776323,15997,Subscriber,1984,1
2126,2014/8/1 0:00,2014/8/1 0:35,150,E 2 St & Avenue C,40.7208736,-73.98085795,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,21437,Subscriber,1988,1
329,2014/8/1 0:00,2014/8/1 0:05,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,477,W 41 St & 8 Ave,40.75640548,-73.9900262,16693,Subscriber,1981,1
308,2014/8/1 0:00,2014/8/1 0:05,477,W 41 St & 8 Ave,40.75640548,-73.9900262,478,11 Ave & W 41 St,40.76030096,-73.99884222,19797,Subscriber,1958,1
648,2014/8/1 0:00,2014/8/1 0:11,2012,E 27 St & 1 Ave,40.739445,-73.976806,2012,E 27 St & 1 Ave,40.739445,-73.976806,21209,Customer,\N,0
438,2014/8/1 0:00,2014/8/1 0:08,228,E 48 St & 3 Ave,40.7546011,-73.97187886,153,E 40 St & 5 Ave,40.75206231,-73.9816324,21501,Subscriber,1980,1
515,2014/8/1 0:00,2014/8/1 0:09,127,Barrow St & Hudson St,40.73172428,-74.00674436,483,E 12 St & 3 Ave,40.73223272,-73.98889957,18836,Subscriber,1986,1
673,2014/8/1 0:00,2014/8/1 0:11,514,12 Ave & W 40 St,40.76087502,-74.00277668,530,11 Ave & W 59 St,40.771522,-73.990541,20333,Subscriber,1985,1
214,2014/8/1 0:00,2014/8/1 0:04,334,W 20 St & 7 Ave,40.74238787,-73.99726235,482,W 15 St & 7 Ave,40.73935542,-73.99931783,19758,Subscriber,1957,1
641,2014/8/1 0:00,2014/8/1 0:11,345,W 13 St & 6 Ave,40.73649403,-73.99704374,174,E 25 St & 1 Ave,40.7381765,-73.97738662,14679,Subscriber,1974,1
512,2014/8/1 0:01,2014/8/1 0:09,407,Henry St & Poplar St,40.700469,-73.991454,243,Fulton St & Rockwell Pl,40.688226,-73.979382,14745,Subscriber,1978,1
662,2014/8/1 0:01,2014/8/1 0:12,445,E 10 St & Avenue A,40.72740794,-73.98142006,476,E 31 St & 3 Ave,40.74394314,-73.97966069,17858,Subscriber,1983,1
237,2014/8/1 0:01,2014/8/1 0:05,257,Lispenard St & Broadway,40.71939226,-74.00247214,361,Allen St & Hester St,40.71605866,-73.99190759,20699,Subscriber,1991,1
1440,2014/8/1 0:01,2014/8/1 0:25,515,W 43 St & 10 Ave,40.76009437,-73.99461843,355,Bayard St & Baxter St,40.71602118,-73.99974372,14722,Subscriber,1989,1
243,2014/8/1 0:01,2014/8/1 0:05,293,Lafayette St & E 8 St,40.73028666,-73.9907647,432,E 7 St & Avenue A,40.72621788,-73.98379855,15702,Subscriber,1978,2
416,2014/8/1 0:01,2014/8/1 0:08,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,476,E 31 St & 3 Ave,40.74394314,-73.97966069,20150,Subscriber,1972,1
634,2014/8/1 0:01,2014/8/1 0:12,462,W 22 St & 10 Ave,40.74691959,-74.00451887,368,Carmine St & 6 Ave,40.73038599,-74.00214988,18534,Subscriber,1977,1
414,2014/8/1 0:01,2014/8/1 0:08,3002,South End Ave & Liberty St,40.711512,-74.015756,337,Old Slip & Front St,40.7037992,-74.00838676,14703,Subscriber,1981,1
556,2014/8/1 0:01,2014/8/1 0:10,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,79,Franklin St & W Broadway,40.71911552,-74.00666661,15378,Subscriber,1964,1
863,2014/8/1 0:01,2014/8/1 0:16,368,Carmine St & 6 Ave,40.73038599,-74.00214988,401,Allen St & Rivington St,40.72019576,-73.98997825,15737,Subscriber,1982,1
621,2014/8/1 0:01,2014/8/1 0:12,160,E 37 St & Lexington Ave,40.748238,-73.978311,297,E 15 St & 3 Ave,40.734232,-73.986923,20601,Subscriber,1980,1
634,2014/8/1 0:01,2014/8/1 0:12,511,E 14 St & Avenue B,40.72938685,-73.97772429,345,W 13 St & 6 Ave,40.73649403,-73.99704374,15024,Subscriber,1987,1
686,2014/8/1 0:02,2014/8/1 0:13,276,Duane St & Greenwich St,40.71748752,-74.0104554,346,Bank St & Hudson St,40.73652889,-74.00618026,14787,Subscriber,1967,1
375,2014/8/1 0:02,2014/8/1 0:08,479,9 Ave & W 45 St,40.76019252,-73.9912551,478,11 Ave & W 41 St,40.76030096,-73.99884222,19994,Subscriber,1971,1
898,2014/8/1 0:02,2014/8/1 0:17,311,Norfolk St & Broome St,40.7172274,-73.98802084,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,16526,Subscriber,1983,1
935,2014/8/1 0:02,2014/8/1 0:18,476,E 31 St & 3 Ave,40.74394314,-73.97966069,473,Rivington St & Chrystie St,40.72110063,-73.9919254,16383,Subscriber,1974,1
944,2014/8/1 0:02,2014/8/1 0:18,401,Allen St & Rivington St,40.72019576,-73.98997825,127,Barrow St & Hudson St,40.73172428,-74.00674436,19863,Subscriber,1974,2
191,2014/8/1 0:02,2014/8/1 0:05,301,E 2 St & Avenue B,40.72217444,-73.98368779,393,E 5 St & Avenue C,40.72299208,-73.97995466,20025,Subscriber,1960,1
323,2014/8/1 0:02,2014/8/1 0:08,434,9 Ave & W 18 St,40.74317449,-74.00366443,238,Bank St & Washington St,40.7361967,-74.00859207,15136,Customer,\N,0
1117,2014/8/1 0:02,2014/8/1 0:21,326,E 11 St & 1 Ave,40.72953837,-73.98426726,455,1 Ave & E 44 St,40.75001986,-73.96905301,15960,Customer,\N,0
302,2014/8/1 0:03,2014/8/1 0:08,301,E 2 St & Avenue B,40.72217444,-73.98368779,393,E 5 St & Avenue C,40.72299208,-73.97995466,17790,Subscriber,1995,2
2714,2014/8/1 0:03,2014/8/1 0:48,427,Bus Slip & State St,40.701907,-74.013942,534,Water - Whitehall Plaza,40.70255065,-74.0127234,19328,Subscriber,1974,1
445,2014/8/1 0:03,2014/8/1 0:10,483,E 12 St & 3 Ave,40.73223272,-73.98889957,428,E 3 St & 1 Ave,40.72467721,-73.98783413,18938,Subscriber,1990,1
